act_id,name_m,name_o,name_a,act_birthday,constel,blood_type,height,weight,BWH,homeplace,job,hobby
1,江藤彩也香,Sayaka Etou,,1997-09-09,处女座,A,160,0,,日本 大分县,歌手、偶像,研究发型、冲浪
2,瀬戸ひな,"濑户雏 , Hina Seto",,1997-08-01,狮子座,A,158,0,B85(D) W60 H94,日本 埼玉县,写真偶像,洗车、剑道、角色扮演
3,吉田実紀,"吉田实纪 , Miki Yoshida",,1992-11-24,射手座,,164,0,B98(K) W73 H95,日本 东京都,歌手、模特,卡拉OK、料理、糕点
4,白河花凛,"白川花凛 , Karin Shirakawa", 桐原沙生 桐原 さあり ,1993-10-18,天秤座,O,167,0,B88(E) W62 H88,日本 神奈川县,偶像,料理
5,池田ゆり,"池田由里 , Yuri Ikeda",,1992-07-26,狮子座,O,1668,0,B82 W58 H88,日本 神奈川县,模特,料理、高尔夫、格斗技、妄想
6,坂口ちな,"坂口千奈 , China Sakaguchi",,1995-05-27,双子座,,158,0,B82 W58 H88,日本 东京都,写真偶像,跳舞
7,のらねこ,Noraneko Skmz,,0000-00-00,,,0,0,,日本 东京都,Coser,动漫
8,上岡楓,"上冈枫 , Kaede Kamioka",,1997-07-18,巨蟹座,A,163,0,B87 W60 H87,日本 三重县,写真偶像,卡拉OK、半身浴、散步
9,やのあんな,"矢野杏奈 , Anna Yano",,1991-10-31,天蝎座,,154,0,B86 W60 H86,日本 神奈川县,模特、歌手,旅行、料理、照相、卡拉OK
10,菅野ゆうか,Yunka Konno,,1987-06-17,双子座,AB,153,0,B94(I) W62 H92,日本 东京都,写真偶像,读书、中医、健身
11,芳根京子,Yoko Yoshinek,,1997-02-28,双鱼座,A,159,40,,日本 东京都,演员,钢琴、长笛
12,岬愛奈,"岬爱奈 , Aina Misaki",,1994-10-21,天秤座,,154,0,B87 W59 H86,日本 长野县,写真偶像,棒球、格斗技、料理
13,月城まゆ,"月城麻由 , Mayu Tukishiro",,1994-08-03,狮子座,A,160,0,B86(F) W58 H88,日本 兵库县,写真偶像,德语、骑马、看DVD
14,愛音まりあ,"爱音麻里亚 , Aine Maria",,1996-02-22,双鱼座,A,165,0,B86(E) W59 H88,日本 神奈川县,艾薇女优,料理、角色扮演
15,ホラン千秋,"和冉千秋 , Chiaki Horan", 贺兰千秋 ,1988-09-28,天秤座,A,160,40,B86(D) W60 H89,日本 东京都多摩市,演员、主持人,英语、料理、唱歌
16,泉れおな,Reona Izumi ,,0000-00-00,,,163,47,,日本 东京都,Coser,角色扮演
17,相良朱音,Akane Sagara,,1995-11-20,天蝎座,B,148,0,B89(G) W55 H84,日本 东京都,写真偶像,读书、动画
18,中川知香,Chika Nakagawa,,1993-05-31,双子座,AB,173,0,B80 W59 H87,日本 新潟县柏崎市,演员、模特,书道、篮球
19,宮原華音,"宫原华音 , Kanonn Miyahara",,1996-04-08,白羊座,A,170,0,B82 W59 H86,日本 东京都,模特、演员,空手道
20,ほのか,"摺河洸 , Honoka",,1996-03-23,白羊座,O,160,41,B78 W59 H82,日本 神奈川县,促酒妹、模特,
21,笹本玲奈,Rena Sasamoto,,1985-06-15,双子座,O,165,48,,日本 千叶县柏市,演员,舞蹈、钢琴、骑马
22,田中道子,Michiko Tanaka,,1989-08-24,处女座,O,172,0,B80 W58 H83,日本 静冈县浜松市,模特、演员,网球、飞镖、潜水、登山、电影
23,大園桃子,"大园桃子 , Momoko Ozono",,1999-09-13,处女座,O,156,0,,日本 鹿儿岛县,偶像,
24,南りほ,Riho Minami,,1995-11-01,天蝎座,A,155,0,B78 W48 H82,日本 兵库县,演员、模特,看电影、听音乐
25,太田里織菜,"太田里织菜 , Riona Ohta",,1996-12-31,魔羯座,O,151,0,,日本 岐阜县,偶像,网球、唱歌、钢琴
26,河井玲奈,Reina Yon,,1998-11-19,天蝎座,A,160,0,B82 W65 H83,日本 兵库县,偶像,DVD、新体操
27,山本恵里伽,Erika Yamamoto,,1993-10-08,天秤座,O,164,0,,日本 熊本县,主播,流行、朗诵
28,石川夏海,Natsume Ishikawa,,1996-06-15,双子座,A,0,0,,日本 千叶县,偶像、歌手,人间观察、DVD
29,水原ゆき,"水原雪 , Yuki Minahara",,1987-12-14,射手座,A,160,0,B80(B) W59 H80,日本 神奈川县,演员,卡拉OK
30,水沢心愛,"水泽心爱 , Cocoa Mizusawa",,1998-01-29,水瓶座,B,156,0,,日本 埼玉县,偶像,美食
31,福間文香,"福间文香 , Ayaka Fukuma",,1989-01-25,水瓶座,B,170,0,B82 W58 H84,日本 奈良县,模特、艺人,料理、糕点
32,伊東楓,"伊东枫 , Kaede Ito",,1993-10-18,天秤座,B,160,0,,日本 富山县,主播,看比赛、旅行
33,山木梨沙,Risa Yamamoto,,1997-10-14,天秤座,B,0,0,,日本 东京都,偶像,卡拉OK、漫画、骑马
34,福永幸海,Sachimi Fukunaga, さちみん、姫 ,1985-08-27,处女座,A,163,0,B88(E) W59 H87,日本 埼玉县,演员、写真偶像,唱歌、棒球、骑马
35,二宮さくら,"二宫樱子 , Ninomiya Sakura",,1995-04-19,白羊座,A,159,0,B95 W64 H90,日本 福岛县,偶像,料理、卡拉OK
36,若尾綾香,"若尾绫香 , Ayaka Wakao",,1989-08-04,狮子座,B,168,0,B87(F) W56 H85,日本 山梨县,演员、模特,看电影、瑜伽、看比赛、旅行
37,深川舞子,Maiko Fukagawa,,1999-07-05,巨蟹座,B,159,0,,日本 福冈县,偶像、歌手,做糕点
38,西野早耶,Saya Nishino,,1999-10-07,天秤座,B,161,0,,日本 千叶县,偶像,料理、舞蹈、卡拉OK
39,樋井紅陽,"樋井红阳 , Hinoi Asahi",,2000-06-16,双子座,O,166,0,B88(E) W60 H86,日本 大阪府,模特、写真偶像,高尔夫、自拍
40,日比麻音子,Maoko Hibi,,1993-07-05,巨蟹座,O,157,0,,日本 东京都大田区,主播,电影、美食
41,佐藤灯,Akari Sato,,1988-10-16,天秤座,,165,0,B94(G) W66 H94,日本 青森县,模特,摄影、 油画、声乐、滑雪
42,中田クルミ,Kurumi Nakata,,1991-12-21,射手座,O,168,48,B81(B) W58 H84,日本 栃木县,演员、模特,滑雪、古典芭蕾、书道、DJ
43,織川みか,"织川美加 , Mika Orikawa",,1997-04-26,金牛座,O,155,0,B91(G) W60 H90,日本 北海道,写真偶像,游泳
44,小山田経子,"小山田怪子 , Oyamada Keiko",,1978-05-29,双子座,A,158,0,B83 W60 H86,日本 山口县,行政书士、LEC讲师,收集眼镜、游览名胜
45,矢野安奈,Anna Yano, ANNA ,1992-12-25,魔羯座,O,158,40,B78 W57 H79,日本 埼玉县,时装模特,音乐
46,原あや香,"原彩香 , Hara Ayaka",,1995-12-13,射手座,B,168,0,B84 W63 H90,日本 埼玉县,模特、写真偶像,电影、拳击、排球、在家跳舞
47,近藤みやび,"近藤雅 , Miyabi Kondo",,1993-07-30,狮子座,AB,169,0,B85 W60 H86,日本 埼玉县,模特、赛车女郎,保龄球、舞蹈
48,赤木ゆう,"赤木优 , Akagi Yu",,1989-03-29,白羊座,O,160,0,B87 W58 H88,日本 千叶县,演员,做鱼、料理
49,山口菜緒,"山口菜绪 , Nao Yamaguchi",,1989-05-20,金牛座,A,154,0,B90(H) W63 H88,日本 北海道,模特、写真偶像,美术馆、音乐、电影
50,三城千咲,Chisaki Miki, ちぃちゃん ,1989-11-26,射手座,A,166,0,B85 W58 H87,日本 鹿儿岛县奄美大岛,模特、赛车女郎,电影、钢琴、小号
51,稀水こはく,Kohaku Kimizu,,1990-08-23,处女座,A,154,0,B88(E) W58 H86,日本 福岛县,写真偶像,料理、阅读、游戏、漫画
52,長月翠,"长月翠 , Midori Natsuki",,2000-05-17,金牛座,,159,0,B89(G) W65 H86,日本 东京都,写真偶像,
53,冴季澪,Rei Saeki,,0000-00-00,,,168,0,B96(H) W60 H90,日本 东京都,车模、写真偶像,占卜
54,藤北れな,"藤北玲奈 , Rena Fujikata",,1995-06-06,双子座,,152,0,B78 W53 H80,日本 东京都,偶像,读书
55,柚月一葉,"柚月一叶 , Kazuwa Yuzuki",,1995-06-12,双子座,O,160,0,B88(F) W60 H88,日本 东京都,写真偶像,滑雪、动画、钓鱼、料理
56,葵井えりか,"葵井绘里香 , Aoi Erika",,1992-02-05,水瓶座,O,164,0,B82 W58 H89,日本 爱媛县,模特、赛车女郎,散步、购物
57,岡村いずみ,Izumi Okamura,,1989-12-25,魔羯座,AB,150,0,,日本 神奈川县,演员、模特,卡拉OK、看电影
58,一ノ瀬未菜美,"鮭山未菜美 , Minami Ichinose",,1993-09-02,处女座,O,157,0,B88 W64 H88,日本 京都府,演员、写真偶像,看书、美食、唱歌、旅游
59,鈴木茜音,"铃木茜音 , Akane Suzuki",,1998-12-28,魔羯座,A,155,0,,日本 三重县,偶像,
60,太田和さくら,"太田和樱子 , Sakura Otawa",,2000-02-03,水瓶座,O,160,0,B82 W64 H83,日本 千叶县,写真偶像,料理、打扫房间
61,陽向さえか,Saeka Hinata, さえぽん ,1992-09-09,处女座,O,160,0,B78(C) W57 H82,日本 大阪府大阪市,艾薇女优,
62,海老沼さくら,"海老沼樱 , Sakura Ebinuma",,1998-11-18,天蝎座,O,169,0,B82 W60 H87,日本 神奈川县,模特,瑜伽、散步、电影、音乐、半身浴
63,今井蜜月,Imai Mitsuki,,1991-03-28,白羊座,,151,0,B76 W58 H82,日本 东京都,写真偶像,
64,岩垂かれん,"岩垂花恋 , Karen Iwadare",,1993-12-24,魔羯座,B,161,0,,日本 东京都,滑雪运动员、解说员,滑雪
65,能見真優華,"能见真优华 , Mayuka Noumi",,1993-01-04,魔羯座,,164,0,,日本 神奈川县,模特,电影、漫画、购物、岩盘浴、咖啡馆
66,神田美晴,Miharu Kanda,,1992-11-29,射手座,A,151,0,B92(H) W62 H90,日本 秋田县,写真偶像,体育、书道、旅行
67,松岡音々,"松冈音音 , Nene Matsuoka",,1988-07-06,巨蟹座,A,168,0,B80(B) W58 H85,日本 广岛县,演员、模特,看电影、跳水
68,渡辺さとみ,"渡边聪美 , Satomi Watanabe",,1995-11-26,射手座,,152,0,B100(I) W63 H92,日本 东京都,艾薇女优,卡拉OK、看电影
69,池田美優,"池田美优 , Miyu Ikeda", みちょぱ ,1998-10-30,天蝎座,A,166,0,B71 W54 H76,日本 静冈县浜松市,模特,听音乐
70,田中みか,"田中美加 , Mika Tanaka",,1992-08-21,狮子座,A,150,0,B87 W60 H85,日本 东京都,写真偶像,日式糕点
71,石川千裕,Chihiro Ishikawa,,1998-12-15,射手座,O,0,0,,日本 东京都,模特,跳舞、化妆
72,鈴川さや,"铃川沙耶 , Suzukawa Saya",,1996-10-17,天秤座,A,159,0,B88 W63 H89,日本 东京都,写真偶像,新体操
73,三船美佳,Mika Mifune, 美佳ちゃん ,1982-09-12,处女座,O,160,0,B82 W62 H88,日本 东京都,演员、模特,骑马、篮球、排球、音乐
74,阿部純子,"阿部纯子 , Junko Abe", 吉永淳 ,1993-05-07,金牛座,,161,0,B74 W57 H82,日本 大阪府,演员、时装模特,有氧潜水、钢琴、长笛
75,笹本結愛,"笹本结爱 , Yurara Sasamoto",,1994-10-14,天秤座,,163,0,B86(E) W55 H85,日本 东京都,艾薇女优,听音乐
76,柚月彩那,Ayana Yuzuki,,1993-03-12,双鱼座,A,149,0,B86(G) W59 H83,日本 千叶县,写真偶像,购物、咖啡馆、做点心
77,溝口恵,"沟口惠 , Megumi Mizoguchi",,1994-07-08,巨蟹座,A,164,0,B80 W58 H80,日本 佐贺县,模特、演员,新体操、漫画
78,うさまりあ,Usa Maria, うさぴょん ,1993-03-20,双鱼座,B,161,0,B105(J) W75 H89,日本 东京都,写真偶像、艺人,马拉松、跳绳、看摔跤
79,柳美稀,Miki Yanagi,,1997-08-24,处女座,B,167,0,B77 W59 H84,日本 大阪府,演员、时装模特,布置房屋、水上自行车
80,高月彩良,Sara Takatsuki,,1997-08-10,狮子座,A,168,45,B81(D) W57 H82,日本 神奈川县,演员,游泳、钢琴、音乐
81,市島ゆかり,"市岛由佳里 , Yukari Ichishima",,1991-11-05,天蝎座,A,165,0,B81 W60 H83,日本 和歌山县,模特,漫画、动画、游戏
82,田辺あすか,"田边明日香 , Askchan",,1995-11-19,天蝎座,A,155,0,,日本 静冈县,写真偶像,
83,岩崎真奈,Iwasaki Mana,,1983-09-24,天秤座,O,158,0,B81 W57 H83,日本 东京都,写真偶像,料理、游泳、电影
84,山口瑠璃,Ruri Yamagu,,1999-03-16,双鱼座,O,153,0,,日本 茨城县,偶像、歌手,
85,髙木悠未,"高木悠未 , Yuumi Takaki",,1997-05-07,金牛座,B,147,0,,日本 福冈县,偶像,舞蹈
86,横井ほなみ,"横井保奈美 , Honami Yokoi",,1998-09-02,处女座,AB,162,45,B80 W57 H86,日本 静冈县滨松市,偶像、歌手,人间观察、独轮车
87,遠山茜子,"远山茜子 , Akane Toyama",,1998-01-06,魔羯座,,154,0,B83 W57 H86,日本 爱知县,模特,游泳、旅行
88,水上京香,Minakami Kyoka,,1995-12-03,射手座,B,165,0,,日本 滋贺县,演员,古典芭蕾、看电影
89,一色杏子,Kyoko Isshiki,,1998-03-24,白羊座,B,152,0,B86 W58 H87,日本 崎玉县,偶像,迪斯尼乐园、舞蹈、电影、杂志
90,蒼怜奈,"苍怜奈 , Rena Aoi ",,1993-04-12,白羊座,O,162,0,B87 W59 H86,日本 宫崎县,赛车女郎,钓鱼
91,藤木美咲,Misa Fujiki,,1993-09-13,处女座,B,166,0,B86(F) W59 H85,日本 福冈县,模特,
92,星野瑠奈,Runa Hoshino,,1993-03-29,白羊座,O,154,0,B85(F) W58 H83,日本 枥木县,写真偶像,
93,荒川優那,"荒川优那 , Una Arakawa",,1993-10-16,天秤座,A,158,0,B82 W58 H84,日本 熊本县,偶像、歌手,游戏、篮球、电车
94,愛沢えみり,Emiri Aizawa,,1988-09-01,处女座,B,164,0,B75 W57 H81,日本 神奈川县横滨市,模特、歌舞伎,购物、睡觉
